# n_sub	n_ins	n_del
0	1237	0
0	1309	0
0	956	0
0	1402	0
0	723	0
0	659	0
0	910	0
0	577	0
0	1191	0
0	773	0
0	1124	0
0	732	0
0	766	0
0	1261	0
0	879	0
0	786	0
0	709	0
0	927	0
0	1246	0
0	905	0
0	1157	0
0	871	0
0	1161	0
0	1560	0
0	1257	0
0	1178	0
0	2390	0
0	1086	0
0	700	0
0	843	0
0	1177	0
0	676	0
0	1288	0
0	1567	0
0	1252	0
0	1935	0
0	1277	0
0	1354	0
0	1612	0
0	1153	0
0	1719	0
0	1447	0
0	1684	0
0	803	0
0	1386	0
0	1392	0
0	932	0
0	1640	0
0	773	0
0	1010	0
0	1045	0
0	1177	0
0	763	0
0	1402	0
0	1590	0
0	1165	0
0	597	0
0	1144	0
0	975	0
0	655	0
0	1029	0
0	1441	0
0	1203	0
0	949	0
0	861	0
0	887	0
0	933	0
0	1352	0
0	1768	0
0	1372	0
0	1402	0
0	928	0
0	655	0
0	1177	0
0	689	0
0	1087	0
0	1629	0
0	967	0
0	1290	0
0	1006	0
0	1046	0
0	943	0
0	1609	0
0	1297	0
0	1180	0
0	634	0
0	1252	0
0	952	0
0	978	0
0	1168	0
0	1088	0
0	1187	0
0	1115	0
0	885	0
0	742	0
0	1617	0
0	721	0
0	367	0
0	1348	0
0	1065	0
0	1126	0
0	1495	0
0	1298	0
0	677	0
0	1641	0
0	913	0
0	676	0
0	1178	0
0	1214	0
0	1020	0
0	1546	0
0	1320	0
0	994	0
0	603	0
0	1389	0
0	1528	0
0	1423	0
0	1185	0
0	1244	0
0	1549	0
0	787	0
0	1066	0
0	706	0
0	1367	0
0	1033	0
0	1124	0
0	612	0
0	1760	0
0	1249	0
0	1899	0
0	1114	0
0	884	0
0	1394	0
0	621	0
0	1035	0
0	951	0
0	784	0
0	882	0
0	1054	0
0	740	0
0	913	0
0	1355	0
0	1098	0
0	855	0
0	1207	0
0	1181	0
0	1530	0
0	862	0
0	691	0
0	1040	0
0	1779	0
0	815	0
0	605	0
0	1108	0
0	834	0
0	534	0
0	1106	0
0	1264	0
0	907	0
0	1416	0
0	831	0
0	897	0
0	804	0
0	1903	0
0	846	0
0	1147	0
0	1598	0
0	1456	0
0	1327	0
0	1171	0
0	1048	0
0	679	0
0	1345	0
0	832	0
0	823	0
0	1195	0
0	1517	0
0	669	0
0	895	0
0	772	0
0	1630	0
0	1031	0
0	1674	0
0	2032	0
0	887	0
0	724	0
0	630	0
0	1183	0
0	676	0
0	742	0
0	1047	0
0	954	0
0	832	0
0	1157	0
0	1304	0
0	1347	0
0	1638	0
0	957	0
0	1142	0
0	796	0
0	1449	0
0	1091	0
0	1155	0
0	749	0
0	1009	0
0	1385	0
0	919	0
0	924	0
0	1202	0
0	952	0
0	1602	0
0	1491	0
0	1233	0
0	797	0
0	1062	0
0	1120	0
0	605	0
0	705	0
0	1498	0
0	899	0
0	1246	0
0	1929	0
0	1075	0
0	1279	0
0	629	0
0	943	0
0	916	0
0	916	0
0	1142	0
0	888	0
0	1136	0
0	547	0
0	728	0
0	887	0
0	751	0
0	1715	0
0	1021	0
0	895	0
0	1349	0
0	1492	0
0	735	0
0	420	0
0	325	0
0	692	0
0	1009	0
0	1038	0
0	933	0
0	1156	0
0	716	0
0	1262	0
0	1380	0
0	1167	0
0	1146	0
0	1868	0
0	1206	0
0	1041	0
0	744	0
0	1078	0
0	1943	0
0	1515	0
0	1182	0
0	1367	0
0	1879	0
0	1115	0
0	827	0
0	1273	0
0	1695	0
0	1410	0
0	849	0
0	1070	0
0	1045	0
0	757	0
0	843	0
0	1370	0
0	1891	0
0	814	0
0	1149	0
0	1096	0
0	1108	0
0	1237	0
0	907	0
0	692	0
0	1030	0
0	1578	0
0	2062	0
0	964	0
0	1055	0
0	1017	0
0	705	0
0	880	0
0	1043	0
0	1127	0
0	728	0
0	780	0
0	1074	0
0	1109	0
0	1224	0
0	1139	0
0	418	0
0	1060	0
0	899	0
0	1085	0
0	1418	0
0	1024	0
0	962	0
0	909	0
0	1424	0
0	997	0
0	1120	0
0	812	0
0	1651	0
0	1741	0
0	1254	0
0	1287	0
0	1505	0
0	756	0
0	939	0
0	1022	0
0	1222	0
0	1108	0
0	843	0
0	1404	0
0	578	0
0	648	0
0	641	0
0	1037	0
0	1175	0
0	1403	0
0	1067	0
0	1136	0
0	984	0
0	1078	0
0	1515	0
0	1524	0
0	998	0
0	1706	0
0	657	0
0	1135	0
0	1580	0
0	1689	0
0	886	0
0	637	0
0	1029	0
0	1852	0
0	1388	0
0	915	0
0	1287	0
0	973	0
0	980	0
0	783	0
0	1185	0
0	1151	0
0	1102	0
0	702	0
0	1647	0
0	1873	0
0	1479	0
0	1646	0
0	1230	0
0	1230	0
0	1270	0
0	974	0
0	890	0
0	1093	0
0	1652	0
0	1276	0
0	1347	0
0	1572	0
0	774	0
0	1189	0
0	1667	0
0	969	0
0	1138	0
0	812	0
0	1230	0
0	872	0
0	1190	0
0	1110	0
0	1061	0
0	707	0
0	948	0
0	916	0
0	911	0
0	1238	0
0	960	0
0	1046	0
0	1118	0
0	1133	0
0	1292	0
0	1319	0
0	1687	0
0	1020	0
0	676	0
0	1354	0
0	1609	0
0	1088	0
0	998	0
0	1759	0
0	1005	0
0	1087	0
0	751	0
0	1498	0
0	647	0
0	397	0
0	1283	0
0	1581	0
0	1253	0
0	999	0
0	1580	0
0	847	0
0	1567	0
0	1771	0
0	718	0
0	936	0
0	715	0
0	1403	0
0	1024	0
0	1277	0
0	1673	0
0	1046	0
0	1636	0
0	1330	0
0	1025	0
0	1057	0
0	906	0
0	1006	0
0	1228	0
0	894	0
0	1163	0
0	1053	0
0	1374	0
0	1693	0
0	881	0
0	962	0
0	1046	0
0	844	0
0	742	0
0	1400	0
0	1110	0
0	944	0
0	1370	0
0	620	0
0	1638	0
0	900	0
0	1450	0
0	744	0
0	1351	0
0	1263	0
0	1041	0
0	941	0
0	1011	0
0	1430	0
0	1056	0
0	994	0
0	704	0
0	1397	0
0	945	0
0	817	0
0	965	0
0	1745	0
0	904	0
0	1579	0
0	1072	0
0	1252	0
0	1046	0
0	1327	0
0	1258	0
0	1139	0
0	1016	0
0	989	0
0	663	0
0	954	0
0	646	0
0	1120	0
0	902	0
0	1004	0
0	1931	0
0	1932	0
0	1457	0
0	1278	0
0	423	0
0	1323	0
0	1321	0
0	1046	0
0	843	0
0	1109	0
0	1575	0
0	1067	0
0	774	0
0	723	0
0	1043	0
0	1237	0
0	1077	0
0	943	0
0	1180	0
0	1172	0
0	1002	0
0	1867	0
0	816	0
0	1043	0
0	1435	0
0	1145	0
0	1585	0
0	1039	0
0	1406	0
0	852	0
0	2622	0
0	1163	0
0	839	0
0	781	0
0	1964	0
0	1184	0
0	1732	0
0	1171	0
0	1449	0
0	1382	0
0	955	0
0	593	0
0	1975	0
0	1265	0
0	341	0
0	668	0
0	993	0
0	1265	0
0	1221	0
0	1377	0
0	1362	0
0	850	0
0	1200	0
0	1239	0
0	921	0
0	897	0
0	1453	0
0	1082	0
0	1082	0
0	1074	0
0	1028	0
0	1365	0
0	1673	0
0	774	0
0	1607	0
0	1055	0
0	1486	0
0	722	0
0	964	0
0	929	0
0	754	0
0	503	0
0	1250	0
0	1618	0
0	677	0
0	564	0
0	713	0
0	1566	0
0	1195	0
0	1100	0
0	1784	0
0	1024	0
0	1419	0
0	1586	0
0	946	0
0	847	0
0	709	0
0	1051	0
0	877	0
0	884	0
0	640	0
0	1333	0
0	749	0
0	1070	0
0	859	0
0	1129	0
0	886	0
0	1146	0
0	809	0
0	1251	0
0	752	0
0	875	0
0	1893	0
0	1147	0
0	1748	0
0	1291	0
0	638	0
0	791	0
0	613	0
0	1098	0
0	1344	0
0	722	0
0	1065	0
0	1710	0
0	957	0
0	853	0
0	947	0
0	1120	0
0	1033	0
0	887	0
0	1143	0
0	1272	0
0	1057	0
0	649	0
0	1061	0
0	756	0
0	782	0
0	1446	0
0	1323	0
0	992	0
0	1246	0
0	656	0
0	761	0
0	1610	0
0	958	0
0	938	0
0	1409	0
0	1118	0
0	891	0
0	826	0
0	993	0
0	1188	0
0	1796	0
0	1078	0
0	1159	0
0	708	0
0	1106	0
0	1248	0
0	1414	0
0	689	0
0	1212	0
0	912	0
0	1063	0
0	1207	0
0	671	0
0	725	0
0	1227	0
0	998	0
0	861	0
0	1638	0
0	1406	0
0	1352	0
0	973	0
0	1231	0
0	1103	0
0	1790	0
0	1172	0
0	957	0
0	994	0
0	624	0
0	1409	0
0	1407	0
0	1505	0
0	624	0
0	568	0
0	592	0
0	1442	0
0	1095	0
0	640	0
0	981	0
0	857	0
0	922	0
0	1178	0
0	1380	0
0	1311	0
0	1730	0
0	1545	0
0	1187	0
0	1070	0
0	1056	0
0	1257	0
0	1417	0
0	635	0
0	973	0
0	954	0
0	1345	0
0	1217	0
0	698	0
0	1031	0
0	1153	0
0	745	0
0	71	0
0	986	0
0	962	0
0	834	0
0	1113	0
0	435	0
0	473	0
0	613	0
0	1325	0
0	1459	0
0	1028	0
0	891	0
0	728	0
0	713	0
0	666	0
0	1220	0
0	1437	0
0	1522	0
0	946	0
0	768	0
0	1757	0
0	413	0
0	499	0
0	1269	0
0	661	0
0	1695	0
0	672	0
0	752	0
0	1078	0
0	956	0
0	662	0
0	850	0
0	1237	0
0	636	0
0	629	0
0	980	0
0	1025	0
0	1437	0
0	811	0
0	748	0
0	1436	0
0	906	0
0	847	0
0	675	0
0	1097	0
0	958	0
0	726	0
0	1145	0
0	945	0
0	393	0
0	727	0
0	1030	0
0	1440	0
0	1294	0
0	812	0
0	1523	0
0	1139	0
0	1724	0
0	1221	0
0	849	0
0	724	0
0	1386	0
0	809	0
0	1237	0
0	974	0
0	805	0
0	670	0
0	996	0
0	1687	0
0	1386	0
0	1442	0
0	1463	0
0	344	0
0	766	0
0	1716	0
0	1442	0
0	1199	0
0	1676	0
0	1020	0
0	1526	0
0	1133	0
0	784	0
0	269	0
0	1055	0
0	1443	0
0	1301	0
0	1149	0
0	1375	0
0	947	0
0	1604	0
0	935	0
0	1873	0
0	934	0
0	1020	0
0	1091	0
0	2107	0
0	1022	0
0	906	0
0	1452	0
0	989	0
0	795	0
0	1319	0
0	1500	0
0	1199	0
0	1183	0
0	753	0
0	1101	0
0	683	0
0	1695	0
0	968	0
0	1216	0
0	1590	0
0	977	0
0	1102	0
0	1717	0
0	1191	0
0	1043	0
0	1776	0
0	1896	0
0	1172	0
0	1183	0
0	1180	0
0	989	0
0	1308	0
0	1016	0
0	980	0
0	1690	0
0	1103	0
0	1152	0
0	971	0
0	1274	0
0	1028	0
0	1046	0
0	1523	0
0	1027	0
0	1496	0
0	1838	0
0	1006	0
0	1182	0
0	1580	0
0	942	0
0	1133	0
0	1499	0
0	2015	0
0	1604	0
0	1607	0
0	946	0
0	976	0
0	1976	0
0	1199	0
0	434	0
0	1484	0
0	792	0
0	1160	0
0	1136	0
0	667	0
0	907	0
0	1013	0
0	1319	0
0	1203	0
0	1468	0
0	941	0
0	1082	0
0	1107	0
0	1652	0
0	937	0
0	804	0
0	1717	0
0	904	0
0	833	0
0	1170	0
0	1499	0
0	851	0
0	1163	0
0	1196	0
0	912	0
0	1926	0
0	1015	0
0	676	0
0	1499	0
0	892	0
0	876	0
0	889	0
0	974	0
0	1050	0
0	1250	0
0	1191	0
0	1041	0
0	775	0
0	1287	0
0	1624	0
0	1214	0
0	898	0
0	876	0
0	1255	0
0	769	0
0	1234	0
0	1133	0
0	846	0
0	1079	0
0	1227	0
0	912	0
0	1398	0
0	1300	0
0	1264	0
0	607	0
0	1145	0
0	1322	0
0	1444	0
0	1626	0
0	959	0
0	973	0
0	1466	0
0	1918	0
0	1102	0
0	1822	0
0	713	0
0	1235	0
0	1031	0
0	817	0
0	1194	0
0	928	0
0	507	0
0	1168	0
0	900	0
0	1484	0
0	994	0
0	1004	0
0	1532	0
0	1085	0
0	543	0
0	1330	0
0	928	0
0	951	0
0	1222	0
0	1150	0
0	1014	0
0	771	0
0	794	0
0	815	0
0	1425	0
0	926	0
0	1112	0
0	1022	0
0	1608	0
0	813	0
0	862	0
0	973	0
0	728	0
0	1053	0
0	1158	0
0	1246	0
0	1115	0
0	1051	0
0	1333	0
0	1519	0
0	1588	0
0	1064	0
0	1247	0
0	1466	0
0	669	0
0	1051	0
0	1013	0
0	494	0
0	1270	0
0	1540	0
0	739	0
0	1729	0
0	1200	0
0	1110	0
0	1432	0
0	911	0
0	1451	0
0	1116	0
0	1219	0
0	1299	0
0	828	0
0	762	0
0	888	0
0	1073	0
0	1158	0
0	1748	0
0	1389	0
0	829	0
0	1583	0
0	981	0
0	1402	0
0	1057	0
0	870	0
0	1083	0
0	419	0
0	1203	0
0	832	0
0	1531	0
0	1090	0
0	1815	0
0	1176	0
0	1622	0
0	877	0
0	834	0
0	315	0
0	411	0
0	812	0
0	2319	0
0	1124	0
0	1719	0
0	938	0
0	732	0
0	1163	0
0	1369	0
0	1135	0
0	1083	0
0	1659	0
0	1083	0
0	1521	0
0	887	0
0	643	0
0	1132	0
0	798	0
0	647	0
0	1278	0
0	1158	0
0	2316	0
0	414	0
0	1149	0
0	1385	0
