# n_sub	n_ins	n_del
0	797	310
0	1006	356
0	986	324
0	1276	524
0	958	351
0	671	252
0	885	351
0	1128	423
0	1113	409
0	1404	493
0	1092	438
0	672	238
0	1130	418
0	1664	620
0	592	226
0	966	384
0	1448	550
0	1104	435
0	835	338
0	1429	493
0	1175	406
0	1225	450
0	884	308
0	1557	612
0	1554	545
0	1239	431
0	1398	517
0	663	261
0	1769	661
0	1728	668
0	1402	532
0	1153	425
0	687	245
0	972	338
0	657	209
0	1006	402
0	1096	397
0	1010	352
0	1362	463
0	1120	453
0	1730	611
0	1146	416
0	1035	330
0	811	304
0	976	356
0	1187	417
0	1041	379
0	1033	357
0	1059	401
0	1439	535
0	331	108
0	964	366
0	1020	408
0	586	243
0	1073	361
0	677	247
0	1286	493
0	1639	587
0	636	245
0	1920	694
0	1224	446
0	1474	609
0	871	341
0	1457	530
0	889	340
0	924	343
0	1501	567
0	254	96
0	1870	677
0	973	388
0	972	363
0	1390	555
0	1476	559
0	925	343
0	959	353
0	1010	368
0	1168	408
0	1275	525
0	1104	379
0	1306	476
0	1000	388
0	675	257
0	1309	478
0	1396	493
0	693	256
0	872	328
0	1047	383
0	1887	662
0	1011	374
0	1021	408
0	1401	538
0	824	334
0	1268	488
0	1031	345
0	806	313
0	417	147
0	1016	392
0	1090	440
0	889	333
0	840	302
0	877	351
0	874	319
0	1480	578
0	1181	391
0	1658	617
0	1141	437
0	600	244
0	1428	557
0	1177	451
0	1233	422
0	894	341
0	962	350
0	1405	571
0	710	266
0	1215	432
0	990	381
0	1305	478
0	913	304
0	725	244
0	790	319
0	1132	407
0	934	360
0	998	404
0	1088	405
0	1417	550
0	1284	518
0	1114	407
0	977	399
0	883	330
0	626	241
0	881	330
0	1626	631
0	1110	364
0	1049	376
0	1392	526
0	701	292
0	1111	366
0	836	303
0	608	235
0	960	369
0	1206	434
0	1201	428
0	971	323
0	1028	397
0	1197	409
0	778	306
0	1194	394
0	643	216
0	1549	620
0	497	182
0	949	345
0	433	142
0	1624	611
0	885	328
0	1037	386
0	1810	660
0	1351	512
0	987	363
0	1045	392
0	450	168
0	827	318
0	1024	364
0	371	130
0	1012	398
0	1043	400
0	1042	347
0	877	301
0	907	324
0	316	107
0	739	267
0	1262	477
0	764	308
0	1125	426
0	1494	531
0	1526	601
0	1111	386
0	637	209
0	849	294
0	971	391
0	844	316
0	1320	509
0	934	321
0	1415	516
0	1189	442
0	972	376
0	1261	442
0	1558	612
0	964	363
0	1131	424
0	1417	531
0	988	324
0	698	285
0	653	269
0	497	206
0	897	300
0	1024	390
0	1215	414
0	1091	364
0	628	223
0	897	378
0	1008	385
0	1099	420
0	1062	432
0	1219	427
0	1341	478
0	921	366
0	1183	418
0	700	237
0	1835	634
0	847	341
0	700	285
0	671	294
0	963	333
0	667	231
0	598	220
0	1701	585
0	658	228
0	1104	351
0	1623	632
0	1187	416
0	1209	436
0	1391	514
0	1349	493
0	712	243
0	1475	541
0	1039	391
0	729	276
0	1505	521
0	824	305
0	804	310
0	871	336
0	1182	414
0	1537	600
0	1666	648
0	1230	457
0	1652	619
0	408	181
0	928	388
0	1123	412
0	1072	428
0	1675	664
0	1585	632
0	1030	408
0	1214	492
0	1538	544
0	1236	500
0	1507	552
0	1115	418
0	1473	539
0	640	233
0	704	279
0	785	298
0	1882	678
0	1202	426
0	802	278
0	1280	497
0	1515	599
0	1287	471
0	1589	618
0	885	342
0	852	337
0	414	181
0	855	311
0	1928	682
0	805	321
0	1091	387
0	748	289
0	685	263
0	1063	406
0	1153	401
0	1768	652
0	895	358
0	1218	463
0	927	348
0	1057	450
0	1399	527
0	1595	614
0	1063	401
0	1619	574
0	1220	408
0	1049	370
0	968	353
0	1136	430
0	1411	588
0	1080	408
0	1191	414
0	1063	438
0	1211	445
0	1023	394
0	1308	456
0	1049	379
0	1509	549
0	1204	483
0	741	292
0	944	354
0	1634	603
0	616	217
0	1235	408
0	672	245
0	604	213
0	785	302
0	1691	594
0	1658	576
0	844	346
0	658	257
0	638	247
0	639	227
0	1654	607
0	1494	617
0	1161	433
0	1086	384
0	815	332
0	1246	444
0	785	298
0	1245	451
0	997	335
0	1111	392
0	818	301
0	664	249
0	1005	350
0	1056	401
0	562	232
0	1826	707
0	1479	528
0	515	240
0	903	336
0	848	290
0	724	292
0	959	359
0	958	354
0	1098	422
0	1189	406
0	676	257
0	954	394
0	1278	487
0	867	337
0	1471	487
0	1076	406
0	1578	573
0	1124	423
0	1082	401
0	1314	452
0	914	355
