# n_sub	n_ins	n_del
209	1148	438
233	1196	475
174	901	358
276	1377	529
132	707	244
123	674	252
165	857	329
123	543	226
230	1133	448
160	807	261
229	1128	371
132	735	266
151	727	271
261	1227	468
181	892	296
139	778	265
150	701	285
181	919	340
235	1287	470
181	874	313
228	1194	445
188	912	330
213	1094	422
268	1440	547
236	1248	483
216	1233	424
451	2410	887
231	1102	391
114	678	226
181	828	285
213	1122	400
135	660	254
239	1262	441
338	1526	555
235	1104	433
368	1854	656
215	1176	435
271	1292	508
278	1530	565
220	1094	376
320	1595	606
296	1494	542
300	1500	580
164	763	321
259	1437	506
267	1370	500
184	852	359
308	1609	599
163	751	290
225	985	369
193	916	374
225	1178	427
115	722	280
290	1305	489
299	1581	526
220	1058	403
133	612	208
222	1150	408
211	923	395
126	577	237
215	1018	368
291	1342	469
245	1136	433
196	851	327
152	856	327
177	890	311
189	931	343
259	1285	472
314	1589	606
261	1269	475
266	1358	482
180	855	338
127	650	236
229	1205	442
126	705	250
209	1130	370
349	1574	601
199	933	346
288	1306	492
227	1024	393
205	920	400
160	855	309
338	1592	619
259	1237	486
182	1092	411
134	630	215
253	1323	416
174	943	348
218	894	351
215	1147	460
219	1073	460
207	1128	394
209	1061	378
171	878	319
138	689	261
337	1636	633
139	665	243
69	384	130
273	1245	489
223	1031	371
215	1035	435
283	1430	531
256	1178	465
150	643	235
303	1622	649
167	943	320
135	635	228
222	1130	393
227	1251	434
214	1047	367
306	1514	586
267	1324	503
193	990	394
120	592	221
286	1305	498
271	1499	521
249	1358	520
235	1158	412
274	1212	443
292	1434	556
154	781	273
225	1056	396
144	675	272
280	1305	511
208	993	363
215	1120	422
132	662	222
376	1667	629
222	1172	443
408	1957	753
189	1067	404
158	878	322
246	1255	480
127	648	239
184	1098	359
190	919	342
165	802	279
180	860	284
213	1067	434
157	722	254
177	868	323
291	1350	532
218	1097	424
169	843	302
231	1195	425
212	1115	450
315	1560	610
192	805	338
122	699	240
196	983	386
291	1659	622
158	719	303
151	691	250
233	1042	369
161	820	311
84	502	185
215	1162	409
229	1305	443
154	838	319
275	1398	511
149	831	265
203	900	356
157	767	301
334	1907	715
158	847	358
215	1114	435
275	1556	582
299	1439	561
260	1330	499
242	1167	453
235	1089	382
124	671	253
264	1371	483
169	789	321
171	865	302
229	1179	443
309	1480	519
112	650	265
149	763	276
130	736	261
326	1389	511
172	966	350
340	1641	651
389	1938	658
169	853	341
133	724	248
149	672	226
197	1151	404
133	632	248
148	669	281
200	962	356
187	914	348
136	787	277
226	1071	401
238	1241	534
245	1311	476
337	1641	624
190	918	330
229	1167	402
139	787	282
255	1411	503
194	1059	382
202	1084	393
149	749	277
202	967	362
288	1253	496
196	854	340
168	949	347
240	1099	398
169	896	304
304	1541	588
285	1458	554
255	1154	451
162	742	298
214	1050	401
230	1067	367
120	632	220
145	675	273
258	1373	531
177	940	307
249	1247	451
359	1868	744
209	968	383
253	1318	457
121	644	227
161	971	375
155	930	303
175	917	324
212	1109	409
164	844	336
209	1072	423
131	654	250
131	685	261
190	899	322
136	796	275
291	1617	572
200	1027	342
163	886	287
267	1340	532
258	1398	527
148	724	264
94	477	139
54	348	113
142	693	247
204	909	340
201	995	365
160	939	344
229	1013	395
151	686	268
265	1160	431
256	1282	473
259	1237	433
241	1092	369
336	1743	668
233	1108	439
210	1052	400
145	753	296
218	1081	343
350	1844	673
286	1495	614
197	1154	403
252	1268	450
339	1836	681
236	1141	396
149	816	301
237	1202	467
315	1595	612
253	1447	546
152	830	319
195	1038	386
201	1032	375
138	777	276
166	865	300
271	1311	530
354	1849	650
160	815	295
232	1130	436
209	874	365
192	983	382
253	1227	429
133	865	341
131	684	270
170	943	355
297	1472	572
427	2123	770
170	883	337
200	1009	392
191	934	367
134	657	232
149	867	340
178	918	348
193	1002	402
135	774	265
134	746	295
223	1097	427
202	1059	390
237	1208	419
217	1159	440
82	431	173
186	988	375
187	883	330
204	1057	397
276	1372	489
197	1018	348
192	920	335
159	912	377
287	1445	568
184	938	382
209	1105	406
154	761	313
334	1595	568
318	1655	647
225	1252	461
272	1222	507
277	1397	495
139	692	291
191	921	386
201	946	353
216	1212	464
201	1079	419
186	882	322
314	1478	517
109	591	206
121	636	230
100	635	198
195	982	359
265	1112	444
276	1383	491
212	1055	385
221	1160	439
197	979	358
230	1051	385
335	1469	554
298	1481	556
182	1018	374
355	1576	571
134	609	230
203	1141	402
309	1547	573
316	1634	576
176	850	275
139	557	233
179	1034	386
331	1692	628
270	1310	442
154	908	343
253	1208	500
173	866	345
181	935	361
151	749	263
233	1230	432
