# n_sub	n_ins	n_del
3426	1168	477
3571	1186	457
2738	927	369
4126	1470	508
2133	705	285
2001	699	248
2549	893	312
1679	569	234
3479	1195	452
2205	785	275
3203	1100	444
2134	691	253
2133	763	274
3553	1125	444
2590	835	318
2164	759	269
2086	699	279
2640	907	346
3592	1191	494
2595	868	331
3366	1115	456
2682	887	307
3357	1079	440
4333	1477	523
3562	1244	501
3430	1134	434
7043	2388	951
3168	1022	399
1982	668	239
2441	868	305
3351	1113	448
1947	674	270
3686	1234	453
4466	1549	556
3376	1139	426
5426	1834	653
3675	1170	446
3910	1337	460
4564	1557	597
3155	1107	419
4872	1668	661
4325	1488	544
4652	1499	552
2214	757	289
4152	1331	509
4221	1383	540
2660	855	307
4852	1555	577
2170	755	271
3069	1046	430
2873	890	332
3342	1160	423
2079	741	254
3947	1341	517
4424	1508	544
3162	1046	389
1767	634	218
3251	1123	399
2743	1018	346
1812	595	245
3056	1020	372
3937	1361	488
3291	1214	405
2727	944	349
2543	878	309
2585	914	327
2769	953	346
3840	1309	486
4803	1580	629
3773	1325	448
4151	1375	528
2513	849	330
1925	591	223
3341	1153	456
1987	619	268
3086	1031	361
4537	1566	609
2731	875	381
3876	1404	510
3030	1033	370
2866	1042	336
2602	920	311
4676	1577	579
3808	1273	456
3151	1045	372
1769	609	229
3576	1227	445
2778	927	381
2795	837	365
3468	1163	478
3248	1115	397
3258	1039	397
3207	1135	390
2514	877	337
2087	759	273
4881	1679	582
2057	723	240
1006	339	142
3737	1224	490
3211	1153	415
3216	1147	387
4170	1400	516
3661	1199	470
1946	638	230
4736	1622	616
2619	870	343
1931	634	243
3292	1088	412
3588	1160	446
3002	991	356
4537	1531	619
3823	1311	528
2884	994	365
1798	624	218
3847	1418	469
4275	1441	561
3908	1336	470
3341	1149	405
3557	1227	443
4387	1496	549
2279	806	278
3061	1087	370
2173	694	232
3922	1309	528
2951	1006	417
3210	1035	371
1987	684	229
5360	1791	670
3476	1225	419
5644	1935	693
3194	1019	385
2629	932	328
3699	1259	466
1840	677	206
3062	1054	367
2653	912	333
2263	675	280
2530	858	321
3120	1011	401
2127	702	232
2651	892	339
4057	1316	537
3083	1033	377
2547	830	334
3535	1125	444
3391	1192	456
4576	1565	585
2694	840	319
1888	706	254
3016	989	335
4945	1655	604
2318	764	311
1936	650	245
3146	1051	391
2261	791	273
1391	476	163
3343	1068	396
3664	1246	473
2423	778	320
3970	1378	515
2320	822	332
2673	920	352
2472	865	290
5590	1896	702
2476	859	307
3327	1130	412
4477	1496	524
4076	1402	571
3766	1248	478
3488	1219	439
3085	1072	415
1907	657	249
3750	1256	472
2442	777	294
2483	845	336
3622	1264	469
4384	1443	522
1949	664	290
2410	828	314
2042	698	263
4343	1441	557
2845	1016	381
4825	1663	652
5575	1899	724
2541	833	315
1971	714	259
1957	675	260
3229	1129	382
1971	646	228
1993	704	264
2789	966	352
2730	950	348
2328	838	290
3183	1078	408
3699	1295	474
3860	1345	454
4748	1658	612
2656	910	345
3341	1117	406
2201	769	293
4204	1497	490
3134	1021	393
3312	1177	378
2191	705	282
2836	1015	342
3789	1288	429
2608	906	324
2657	952	366
3315	1026	425
2639	892	313
4619	1593	611
4170	1417	551
3536	1195	431
2299	762	289
3090	1010	379
3182	1103	400
1775	581	193
1985	701	257
4092	1387	527
2601	893	373
3599	1243	497
5601	1893	724
3119	1015	398
3594	1253	462
1758	646	239
2865	973	341
2559	881	323
2577	812	367
3368	1118	407
2483	838	309
3228	1078	392
1817	612	246
2125	701	276
2596	882	313
2131	728	271
4810	1628	592
3033	1105	390
2568	891	318
3966	1365	515
4359	1540	525
2342	753	304
1263	424	133
958	343	110
2026	706	253
2791	997	379
3040	1081	385
2625	910	322
3134	1113	395
2123	678	271
3491	1189	451
3863	1363	478
3475	1180	457
3186	1130	400
5098	1712	685
3355	1194	455
2913	999	369
2218	807	261
3016	1031	373
5494	1810	712
4498	1485	587
3258	1229	435
3936	1346	469
5209	1815	681
3182	1141	399
2300	782	286
3543	1211	450
4790	1556	623
4014	1396	521
2522	743	305
3036	1066	396
2891	1079	381
2215	713	281
2402	812	308
3853	1314	477
5431	1839	696
2415	812	281
3403	1104	426
2842	1000	362
3046	1046	379
3613	1239	472
2486	866	332
1922	641	244
2836	950	346
4429	1434	620
5979	2030	795
2553	880	338
3059	1022	372
2841	967	371
2007	672	262
2651	877	326
2902	971	381
3067	1025	368
2218	770	265
2313	797	272
3175	1143	423
2994	1060	368
3582	1198	441
3381	1124	410
1227	417	155
2859	976	370
2543	793	309
2982	989	399
3964	1299	505
3002	990	375
2802	904	328
2851	908	344
4214	1425	503
2802	989	378
3245	1057	442
2310	804	348
4709	1522	624
4874	1725	580
3595	1196	456
3555	1261	429
4227	1454	535
2035	666	259
2879	982	360
2883	978	413
3478	1204	410
3258	1082	371
2526	831	343
4221	1500	544
